"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-26 19:29:00,6,26,19,26.8,44.4,25.95,0.165,1.98,0,0,0,0,0,0,0,"013949001711061"
2015-06-26 19:33:00,6,26,19,26.6,45.7,25.95,0.22,1.98,0,0,0,0,0,0,0,"013949001711061"
2015-06-26 19:39:00,6,26,19,26.7,45.3,25.95,6.0225,2.09,211,1,0,0,0,0,0,"013949001711061"
2015-06-26 19:48:00,6,26,19,26.4,47.6,26.2,5.995,2.0625,211,0,0,0,0,0,0,"013949001711061"
2015-06-26 20:53:00,6,26,20,26.5,47,26.01,11.825,4.235,421,1,0,0,0,0,0,"013949001711061"
2015-06-26 20:57:00,6,26,20,26.4,47.4,26.3,13.09,4.29,468,2,0,0,0,0,0,"013949001711061"
2015-06-26 22:30:00,6,26,22,26.4,47.7,26.46,13.0075,4.3175,467,3,0,0,0,0,0,"013949001711061"
2015-06-27 00:09:00,6,27,0,26.3,46.8,26.26,12.98,4.2625,467,2,0,0,0,0,0,"013949001711061"
2015-06-27 00:27:00,6,27,0,26.3,46.8,26.26,12.98,4.2625,467,2,0,0,0,0,0,"013949001711061"
2015-06-27 00:29:00,6,27,0,26.3,46.8,26.26,12.98,4.2625,467,2,0,0,0,0,0,"013949001711061"
2015-06-27 00:35:00,6,27,0,27.1,44.9,26.14,14.355,4.235,516,2,0.00299341,0,77.224,0,0,"013949001711061"
2015-06-27 00:40:00,6,27,0,26.7,45,26.14,14.3275,4.1525,518,1,0.00751407,0,193.848,0,0,"013949001711061"
2015-06-27 02:37:00,6,27,2,26,46.1,26.11,14.3275,4.18,520,2,0.40820338,0.02742941,10530.832,707.624,0,"013949001711061"
2015-06-27 04:37:00,6,27,4,25.7,46.4,25.77,14.3275,4.18,520,2,0.41877195,0.02742941,10803.48,707.624,0,"013949001711061"
2015-06-27 06:37:00,6,27,6,25.6,47.2,25.65,14.3275,4.1525,520,1,0.41877195,0.02742941,10803.48,707.624,0,"013949001711061"
2015-06-27 15:30:00,6,27,15,26.5,47.3,26.04,14.19,4.4,511,2,0.00268796,0,69.344,0,0,"013949001711061"
2015-06-27 17:46:00,6,27,17,30.4,40.8,29.7,12.87,3.96,481,1,0.00525374,0,0,0,0,"013949001711061"
2015-06-27 19:48:00,6,27,19,30.8,42,30.47,12.98,3.96,485,0,0.03750926,0.00274905,12.608,0,0,"013949001711061"
2015-06-27 21:48:00,6,27,21,26.4,54.4,26.48,12.76,3.96,39,0,0.01325653,0.00140507,0,0,0,"013949001711061"
2015-06-27 23:48:00,6,27,23,21.7,65.5,21.97,12.705,4.07,17,0,0.41871086,0.02602434,0,0,0,"013949001711061"
2015-06-28 00:19:00,6,28,0,26.3,46.8,26.26,12.98,4.2625,467,2,0,0,0,0,0,"013949001711061"
2015-06-28 01:48:00,6,28,1,20.2,76.19,20.38,12.65,4.0975,14,0,0.20391842,0.01191255,0,0,0,"013949001711061"
2015-06-28 03:48:00,6,28,3,19.2,86.4,19.3,12.65,4.0975,12,0,0.01460051,0.00018327,0,0,0,"013949001711061"
2015-06-28 05:48:00,6,28,5,18.2,92.4,18.31,12.65,4.0975,471,0,0.00109962,0.00012218,0,0,0,"013949001711061"
2015-06-28 07:48:00,6,28,7,21.7,80.6,21.76,12.87,4.0975,482,1,0.00665881,0.00048872,0,0,0,"013949001711061"
2015-06-28 09:48:00,6,28,9,26,56.9,26.13,13.1175,4.0975,491,0,0.02608543,0.0018327,0,0,0,"013949001711061"
2015-06-28 11:48:00,6,28,11,29.2,49.5,28.96,13.2825,4.125,498,0,0.04936072,0.00348213,0,0,0,"013949001711061"
2015-06-28 13:48:00,6,28,13,32.3,34,34.07,13.9975,4.1525,524,1,0.1044639,0.00885805,0,0,0,"013949001711061"
2015-06-28 15:48:00,6,28,15,33.4,35.5,33.91,15.8125,4.1525,590,1,0.17477849,0.01234018,0,0,0,"013949001711061"
2015-06-28 17:48:00,6,28,17,34.2,34.09,33.17,14.8225,4.1525,554,1,0.15901727,0.01032421,0,0,0,"013949001711061"
