"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-08-05 20:18:00,8,5,20,33.7,33.7,32.55,11.715,4.2075,431,1,0,0,0,0,0,"013949009979850"
2015-08-05 20:26:00,8,5,20,32.9,32.9,31.91,11.6875,4.2075,429,1,0,0,0,0,0,"013949009979850"
2015-08-05 20:29:00,8,5,20,32.7,32.7,31.98,11.6875,4.2075,324,0,0,0,0,0,0,"013949009979850"
2015-08-05 20:35:00,8,5,20,32.2,32.2,31.5,11.6875,4.2075,226,0,0,0,0,0,0,"013949009979850"
2015-08-05 20:40:00,8,5,20,32.09,32.09,31.47,11.66,4.2075,191,0,0,0,0,0,0,"013949009979850"
2015-08-05 20:43:00,8,5,20,32,32,31.26,11.66,4.2075,278,0,0,0,0,0,0,"013949009979850"
2015-08-05 22:29:00,8,5,22,29.7,29.7,29.56,11.5225,4.2075,37,0,6.109e-05,0,0,0,0,"013949009979850"
2015-08-06 02:29:00,8,6,2,26.1,26.1,25.78,11.4125,4.2075,31,0,0,0,0,0,0,"013949009979850"
2015-08-06 04:29:00,8,6,4,24.3,24.3,24.14,11.3575,4.2075,29,0,0,0,0,0,0,"013949009979850"
2015-08-06 06:29:00,8,6,6,23.3,23.3,23.51,11.275,4.2075,364,0,0,0,0,0,0,"013949009979850"
2015-08-06 08:27:00,8,6,8,24.6,24.6,24.49,11.2475,4.2075,415,0,0.04881091,0.00604791,0,0,0,"013949009979850"
2015-08-06 10:27:00,8,6,10,29.3,29.3,28.95,11.33,4.2075,419,0,0.16304921,0.00262687,0,0,0,"013949009979850"
2015-08-06 12:29:00,8,6,12,33.5,33.5,33.23,11.22,4.2075,415,0,0.03903651,0.00146616,0,0,0,"013949009979850"
2015-08-06 14:28:00,8,6,14,39.5,39.5,37.44,11.275,4.2075,418,1,0.04710039,0.00390976,0,0,0,"013949009979850"
2015-08-06 16:29:00,8,6,16,45.5,45.5,43.45,11.6325,4.2075,431,1,0.0659772,0.00403194,0,0,0,"013949009979850"
2015-08-06 18:28:00,8,6,18,47.3,47.3,44.87,11.6875,4.2075,432,1,0.03402713,0.00164943,0,0,0,"013949009979850"
2015-08-06 20:29:00,8,6,20,35.7,35.7,33.62,11.55,4.2075,424,1,0.0085526,0.00012218,0,0,0,"013949009979850"
2015-08-06 22:29:00,8,6,22,30.2,30.2,30.17,11.3025,4.2075,39,0,6.109e-05,0,0,0,0,"013949009979850"
2015-08-07 00:29:00,8,7,0,27.8,27.8,27.7,11.1375,4.2075,34,0,0.00323777,0.00036654,0,0,0,"013949009979850"
