"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-08-07 11:48:00,8,7,11,35,37,33.96,6.435,2.0625,239,0,0.35468854,0,0,0,0,"013949002522947"
2015-08-07 13:17:00,8,7,13,34.8,34.8,33.11,6.38,2.0625,237,0,1.28020204,0.10360864,0,0,0,"013949002522947"
2015-08-07 15:17:00,8,7,15,36.2,32.4,36.06,6.6,2.0625,246,0,1.6170523,0.08937467,0,0,0,"013949002522947"
2015-08-07 17:17:00,8,7,17,35.09,33.9,34.92,6.5175,2.0625,242,0,0.63356439,0.03677618,0,0,0,"013949002522947"
2015-08-07 19:17:00,8,7,19,36,31,38.41,6.6825,2.0625,249,0,0.41883304,0.02058733,0,0,0,"013949002522947"
2015-08-07 21:17:00,8,7,21,30.4,42.3,32.03,6.49,2.0625,26,0,0.32261629,0.02516908,0,0,0,"013949002522947"
2015-08-07 23:17:00,8,7,23,29,45.7,28.15,6.4625,2.0625,13,0,0.63558036,0.04312954,0,0,0,"013949002522947"
2015-08-08 01:17:00,8,8,1,27.9,43.8,26.37,6.435,2.0625,13,0,0.604791,0.04374044,0,0,0,"013949002522947"
2015-08-08 03:17:00,8,8,3,27.4,41.7,25.24,6.4075,2.0625,12,0,0.68255857,0.04148011,0,0,0,"013949002522947"
2015-08-08 07:17:00,8,8,7,26,48.2,23.94,6.4075,2.09,237,0,0.77370485,0.05210977,0,0,0,"013949002522947"
2015-08-08 09:17:00,8,8,9,33,37.2,25.64,6.5175,2.0625,242,0,0.73295782,0.0409303,0,0,0,"013949002522947"
2015-08-08 11:17:00,8,8,11,36.4,34.7,28.53,6.6,2.0625,245,0,0.52592381,0.03537111,0,0,0,"013949002522947"
2015-08-08 13:17:00,8,8,13,34.7,37.3,34.38,6.5725,2.0625,243,0,0.55579682,0.03879215,0,0,0,"013949002522947"
2015-08-08 15:17:00,8,8,15,35.7,38.09,38.98,6.82,2.0625,254,0,0.6927606,0.04245755,0,0,0,"013949002522947"
2015-08-08 17:17:00,8,8,17,33.59,35.7,34.78,6.7375,2.0625,250,0,0.6585502,0.04184665,0,0,0,"013949002522947"
2015-08-08 19:17:00,8,8,19,31.8,43.3,31.92,6.6275,2.0625,245,0,0.33666699,0.02211458,0,0,0,"013949002522947"
2015-08-08 21:17:00,8,8,21,28.9,56.4,29.96,6.545,2.0625,19,0,0.27026216,0.0097744,0,0,0,"013949002522947"
2015-08-08 23:17:00,8,8,23,27.6,54.3,27.61,6.5175,2.0625,13,0,0.43764876,0.03127808,0,0,0,"013949002522947"
2015-08-09 01:17:00,8,9,1,26.8,55.7,26.3,6.49,2.0625,12,0,0.42451441,0.0293232,0,0,0,"013949002522947"
2015-08-09 03:17:00,8,9,3,25.9,56.6,24.99,6.49,2.09,12,0,0.54962673,0.03524893,0,0,0,"013949002522947"
2015-08-09 05:17:00,8,9,5,24.6,57.5,24.09,6.4625,2.0625,12,0,0.52274713,0.04129684,0,0,0,"013949002522947"
2015-08-09 07:17:00,8,9,7,25,55.8,23.61,6.4625,2.09,240,0,0.40594305,0.02779595,0,0,0,"013949002522947"
2015-08-09 09:17:00,8,9,9,29.5,53.1,26.37,6.655,2.0625,247,0,0.27863149,0.01967098,0,0,0,"013949002522947"
2015-08-09 11:17:00,8,9,11,29.3,72.5,28.9,6.7375,2.0625,250,0,0.67669393,0.04386262,0,0,0,"013949002522947"
2015-08-09 13:17:00,8,9,13,30.7,61.6,32.4,6.8475,2.0625,255,0,0.67486123,0.04917745,0,0,0,"013949002522947"
2015-08-09 19:17:00,8,9,19,28.4,78.3,32.27,7.315,2.0625,272,0,0.62568378,0.04251864,0,0,0,"013949002522947"
2015-08-09 21:17:00,8,9,21,26.3,88.8,29.4,6.5725,2.0625,19,0,0.35297802,0.01545577,0,0,0,"013949002522947"
2015-08-09 23:17:00,8,9,23,25.7,82,27.42,6.545,2.0625,12,0,0.207706,0.01191255,0,0,0,"013949002522947"
2015-08-10 03:17:00,8,10,3,24.5,82.7,25.9,6.5175,2.0625,11,0,0.22737698,0.0134398,0,0,0,"013949002522947"
2015-08-10 05:17:00,8,10,5,24,80.9,25.24,6.49,2.0625,11,0,0.12676175,0.00678099,0,0,0,"013949002522947"
2015-08-10 07:17:00,8,10,7,23.9,83.9,24.65,6.49,2.09,238,0,0.23195873,0.02150368,0,0,0,"013949002522947"
