"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-27 19:04:00,6,27,19,27,48.8,26.64,0,4.1525,0,0,0.00586464,0,151.296,0,0,"013949004379122"
2015-06-27 19:10:00,6,27,19,27,49.1,26.61,0,4.1525,0,0,0.01753283,0,452.312,0,0,"013949004379122"
2015-06-27 19:22:00,6,27,19,27.1,48.3,26.64,0,4.1525,0,0,0.03494348,0,901.472,0,0,"013949004379122"
2015-06-27 20:03:00,6,27,20,27.1,49,26.66,12.595,4.235,459,0,0.14508875,0.00201597,3743,52.008,0,"013949004379122"
2015-06-27 21:25:00,6,27,21,27,49.8,26.76,12.595,4.235,459,0,0.29341527,0.01203473,7569.528,310.472,0,"013949004379122"
2015-06-27 22:07:00,6,27,22,27,48.2,26.68,9.625,4.2075,351,0,0.14728799,0.00372649,3799.736,96.136,0,"013949004379122"
2015-06-27 22:35:00,6,27,22,27.2,48,26.53,9.625,4.2075,351,0,0.00531483,0,138.688,0,0,"013949004379122"
2015-06-28 02:02:00,6,28,2,26.8,48.9,26.78,9.68,4.2625,352,0,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
2015-06-28 05:52:00,6,28,5,26.9,47.5,26.65,9.625,4.2075,351,0,0.39500794,0.024436,10188.84,630.4,0,"013949004379122"
2015-06-28 05:56:00,6,28,5,26.9,47.5,26.36,9.5975,4.2075,351,0,0.00519265,0,135.536,0,0,"013949004379122"
2015-06-28 07:26:00,6,28,7,26.5,52.7,24.14,13.53,4.2625,185,0,0,0,0,0,0,"013949004379122"
2015-06-28 07:34:00,6,28,7,24.3,59.3,26.56,13.5575,4.2625,502,1,0,0,0,0,0,"013949004379122"
2015-06-28 07:47:00,6,28,7,24.8,56.3,29.27,13.5025,4.235,501,0,0.00659772,0,159.176,0,0,"013949004379122"
2015-06-28 09:28:00,6,28,9,31.6,40.2,40.29,15.2075,4.29,565,1,0.35102314,0.02742941,9054.12,707.624,0,"013949004379122"
2015-06-28 09:34:00,6,28,9,31.4,40.3,40.45,15.125,4.235,561,0,0.01453942,0,375.088,0,0,"013949004379122"
2015-06-28 11:06:00,6,28,11,26.9,50.9,45.7,13.585,4.2625,503,0,0.32982491,0.01887681,8508.824,486.984,0,"013949004379122"
2015-06-28 12:28:00,6,28,12,27.7,47.3,30.04,13.475,4.3175,498,1,0.28186926,0.02742941,7271.664,707.624,0,"013949004379122"
2015-06-28 14:28:00,6,28,14,28.2,45,28.67,13.42,4.3175,495,0,0.41913849,0.02742941,10812.936,707.624,0,"013949004379122"
2015-06-28 16:28:00,6,28,16,28.9,43.2,28.65,13.365,4.3175,492,0,0.41901631,0.02742941,10808.208,707.624,0,"013949004379122"
2015-06-28 18:28:00,6,28,18,28.4,41.5,28.19,13.3375,4.3175,490,0,0.4190774,0.02742941,10809.784,707.624,0,"013949004379122"
2015-06-28 20:28:00,6,28,20,27,45.8,27.15,13.31,4.3175,487,0,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
2015-06-28 22:28:00,6,28,22,22.6,59.4,24.44,13.2825,4.3175,53,0,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
2015-06-29 00:28:00,6,29,0,20,72.69,22.74,13.255,4.3175,50,0,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
2015-06-29 02:28:00,6,29,2,18.6,78.9,21.67,13.2275,4.3175,50,0,0.41913849,0.02742941,10812.936,707.624,0,"013949004379122"
2015-06-29 04:28:00,6,29,4,17.9,83.1,20.31,13.2275,4.3175,50,0,0.41913849,0.02742941,10812.936,707.624,0,"013949004379122"
2015-06-29 06:27:00,6,29,6,18.5,81.6,20.49,13.2,4.3175,488,0,0.41919958,0.02742941,10814.512,707.624,0,"013949004379122"
2015-06-29 08:28:00,6,29,8,23.3,63.4,31.43,13.75,4.3175,511,1,0.421521,0.02742941,10872.824,707.624,0,"013949004379122"
2015-06-29 10:28:00,6,29,10,25.5,58.9,37.54,13.6675,4.3175,507,0,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
2015-06-29 12:28:00,6,29,12,26.2,54.5,28.89,13.585,4.3175,503,0,0.41901631,0.02742941,10809.784,707.624,0,"013949004379122"
2015-06-29 14:28:00,6,29,14,27.7,41.7,28.69,13.5025,4.3175,500,0,0.4190774,0.02742941,10809.784,707.624,0,"013949004379122"
2015-06-29 16:28:00,6,29,16,28.5,39.4,28.21,13.3375,4.3175,493,1,0.4190774,0.02742941,10811.36,707.624,0,"013949004379122"
