"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-26 01:29:00,6,26,1,17.79,78.19,17.26,6.4075,2.0075,7,0,0.00494829,0,0,0,0,"013949004392026"
2015-06-26 03:29:00,6,26,3,16.6,81.3,16.31,6.38,2.0075,8,0,0.00012218,0,0,0,0,"013949004392026"
2015-06-26 05:29:00,6,26,5,15.9,83.6,15.67,6.38,1.98,188,0,0.00036654,0,0,0,0,"013949004392026"
2015-06-26 07:29:00,6,26,7,23.7,53.9,16.44,6.435,2.0075,248,0,0.02132041,0.00207706,0,0,0,"013949004392026"
2015-06-26 09:29:00,6,26,9,27.8,42.7,21.45,6.71,1.98,261,0,0.03023955,0.00116071,0,0,0,"013949004392026"
2015-06-26 11:29:00,6,26,11,29.7,35.59,22.62,6.875,2.0075,267,0,0.12242436,0.01050748,0,0,0,"013949004392026"
2015-06-26 13:29:00,6,26,13,31.7,34.5,22.63,7.1775,2.0075,278,0,0.23592958,0.01209582,0,0,0,"013949004392026"
2015-06-26 17:29:00,6,26,17,30.6,34.2,23.51,6.875,2.0075,264,0,0.3921978,0.02926211,0,0,0,"013949004392026"
2015-06-26 19:29:00,6,26,19,27.4,37.8,22.89,6.82,2.0075,261,0,0.32078359,0.01252345,0,0,0,"013949004392026"
2015-06-26 21:29:00,6,26,21,22.8,52.1,20.96,6.7375,2.0075,74,0,0.0904132,0.00500938,0,0,0,"013949004392026"
2015-06-27 01:29:00,6,27,1,18.1,79.4,18.07,6.71,2.0075,8,0,0.00775843,0.00030545,0,0,0,"013949004392026"
2015-06-27 03:29:00,6,27,3,16.79,80.1,16.96,6.6825,2.0075,8,0,0,0,0,0,0,"013949004392026"
2015-06-27 05:29:00,6,27,5,15.7,87.2,16.07,6.655,1.98,198,0,0.00476502,0.00024436,0,0,0,"013949004392026"
2015-06-27 07:29:00,6,27,7,23.6,56.4,16.7,6.7925,2.0075,262,0,0.0018327,0.00018327,0,0,0,"013949004392026"
2015-06-27 09:29:00,6,27,9,27.2,52.1,21.79,8.25,2.0075,316,0,0.04868873,0.00470393,0,0,0,"013949004392026"
2015-06-27 11:29:00,6,27,11,31.4,38.7,22.86,8.415,2.0075,322,0,0.07226947,0.0048872,0,0,0,"013949004392026"
2015-06-27 13:29:00,6,27,13,32.4,38.2,23.32,8.4975,2.0075,326,0,0.21118813,0.01570013,0,0,0,"013949004392026"
2015-06-27 15:29:00,6,27,15,31.3,39.4,24.1,8.525,1.98,326,0,0.65677859,0.04838328,0,0,0,"013949004392026"
2015-06-27 17:29:00,6,27,17,30.3,37.5,24.45,7.3425,2.0075,282,0,0.68433018,0.03078936,0,0,0,"013949004392026"
2015-06-27 19:29:00,6,27,19,25.8,52.2,23.16,6.8475,2.0075,262,0,0.50625283,0.03329405,0,0,0,"013949004392026"
2015-06-27 21:29:00,6,27,21,22.3,72.1,21.28,6.7375,2.0075,84,0,0.23776228,0.00384867,0,0,0,"013949004392026"
2015-06-28 01:29:00,6,28,1,19.29,87,18.82,6.71,1.98,7,0,0.00806388,0.00042763,0,0,0,"013949004392026"
2015-06-28 03:29:00,6,28,3,18.29,92.8,18.1,6.71,1.98,8,0,0.00946895,0.00030545,0,0,0,"013949004392026"
2015-06-28 05:29:00,6,28,5,17.29,90.8,17.44,6.71,1.98,190,0,0.00311559,0.00018327,0,0,0,"013949004392026"
2015-06-28 07:29:00,6,28,7,23.5,65.69,17.66,6.8475,1.98,263,0,0.00323777,0.00036654,0,0,0,"013949004392026"
2015-06-28 09:29:00,6,28,9,28.7,52.5,23.14,7.5075,2.0075,289,0,0.03402713,0.00207706,0,0,0,"013949004392026"
2015-06-28 11:29:00,6,28,11,32.09,40.8,24.05,8.5525,2.0075,328,0,0.04190774,0.00323777,0,0,0,"013949004392026"
2015-06-28 13:29:00,6,28,13,33.2,39,24.66,8.5525,2.0075,328,0,0.23098129,0.01796046,0,0,0,"013949004392026"
2015-06-28 15:29:00,6,28,15,35.3,31.9,25.45,8.47,2.0075,325,0,0.2132041,0.01258454,0,0,0,"013949004392026"
2015-06-28 17:29:00,6,28,17,33.7,41.5,26.22,7.0675,2.0075,271,0,0.19280004,0.01686084,0,0,0,"013949004392026"
2015-06-28 19:29:00,6,28,19,29.5,48.7,25.51,6.8475,2.0075,262,0,0.22701044,0.00861369,0,0,0,"013949004392026"
2015-06-28 21:29:00,6,28,21,25.3,54,23.31,6.7375,2.0075,72,0,0.04807783,0.00140507,0,0,0,"013949004392026"
2015-06-28 23:29:00,6,28,23,23.3,72.69,21.74,6.71,2.0075,7,0,0.0262687,0.00152725,0,0,0,"013949004392026"
2015-06-29 01:29:00,6,29,1,20.9,80.3,20.49,6.6825,2.0075,7,0,0.0085526,0.00036654,0,0,0,"013949004392026"
2015-06-29 03:29:00,6,29,3,20.5,83,19.53,6.6825,1.98,7,0,0,0,0,0,0,"013949004392026"
2015-06-29 05:29:00,6,29,5,19.2,88.8,18.82,6.71,1.98,167,0,0.00116071,0,0,0,0,"013949004392026"
2015-06-29 07:29:00,6,29,7,25.4,60,19.42,6.8475,1.98,263,0,0.01124056,0.00097744,0,0,0,"013949004392026"
2015-06-29 09:29:00,6,29,9,30.7,45.6,24.43,7.5075,2.0075,289,0,0.02718505,0.0006109,0,0,0,"013949004392026"
2015-06-29 11:29:00,6,29,11,32.4,35,25.92,8.58,2.0075,329,0,0.10990091,0.00592573,0,0,0,"013949004392026"
2015-06-29 13:29:00,6,29,13,31.4,37.5,27.58,7.425,1.98,286,0,0.09756073,0.00708644,0,0,0,"013949004392026"
2015-06-29 15:29:00,6,29,15,34.9,38.3,27.42,8.3875,2.0075,321,0,0.12046948,0.00928568,0,0,0,"013949004392026"
2015-06-29 17:29:00,6,29,17,33.09,40.2,26.9,7.0675,2.0075,271,0,0.36403531,0.02590216,0,0,0,"013949004392026"
2015-06-29 19:29:00,6,29,19,28.8,50.8,25.92,7.0125,2.0075,269,0,0.46941556,0.03060609,0,0,0,"013949004392026"
2015-06-29 21:29:00,6,29,21,25.2,59.3,23.67,6.7375,1.98,68,0,0.27606571,0.00989658,0,0,0,"013949004392026"
2015-06-29 23:29:00,6,29,23,23.3,73.8,22.05,6.71,2.0075,7,0,0.0403194,0.00207706,0,0,0,"013949004392026"
2015-06-30 01:29:00,6,30,1,21.5,84.4,20.91,6.71,1.98,7,0,6.109e-05,0,0,0,0,"013949004392026"
2015-06-30 03:29:00,6,30,3,20.4,88.4,19.99,6.71,2.0075,7,0,0.00189379,0,0,0,0,"013949004392026"
2015-06-30 05:29:00,6,30,5,19.5,95.7,19.36,6.71,1.98,171,0,0.00164943,0,0,0,0,"013949004392026"
2015-06-30 07:29:00,6,30,7,24.7,67.3,20.11,6.93,2.0075,266,0,0.00525374,0.0006109,0,0,0,"013949004392026"
2015-06-30 09:29:00,6,30,9,29.2,53.1,24.06,7.425,2.0075,285,0,0.05895185,0.00281014,0,0,0,"013949004392026"
2015-06-30 11:29:00,6,30,11,33.09,43.2,25.93,8.47,2.0075,324,0,0.09132955,0.00708644,0,0,0,"013949004392026"
2015-06-30 13:29:00,6,30,13,34.5,38.9,26.52,8.525,1.98,327,0,0.23855645,0.01460051,0,0,0,"013949004392026"
2015-06-30 15:29:00,6,30,15,34.4,44.3,27.87,8.5525,2.0075,328,0,0.15907836,0.00702535,0,0,0,"013949004392026"
2015-06-30 17:29:00,6,30,17,34,45.1,28.33,7.205,2.0075,276,0,0.40985281,0.02205349,0,0,0,"013949004392026"
2015-06-30 19:29:00,6,30,19,30,54.9,27.07,6.9575,1.98,266,0,0.20856126,0.01081293,0,0,0,"013949004392026"
2015-06-30 21:29:00,6,30,21,26.1,69.19,24.94,6.765,1.98,87,0,0.04068594,0.00073308,0,0,0,"013949004392026"
2015-06-30 23:29:00,6,30,23,24.4,81.6,23.42,6.7375,1.98,7,0,0.01276781,0.00097744,0,0,0,"013949004392026"
2015-07-01 01:29:00,7,1,1,22.6,90.5,22.15,6.7375,1.98,6,0,0.00470393,0,0,0,0,"013949004392026"
2015-07-01 03:29:00,7,1,3,21.8,83.2,21.18,6.6825,1.98,7,0,0.01423397,0.00030545,0,0,0,"013949004392026"
2015-07-01 05:29:00,7,1,5,21.2,83.1,20.53,6.6825,2.0075,174,0,0.01435615,0.00036654,0,0,0,"013949004392026"
2015-07-01 07:29:00,7,1,7,26.5,58.1,20.92,6.8475,2.0075,263,0,0.01007985,0.00048872,0,0,0,"013949004392026"
2015-07-01 09:29:00,7,1,9,31.1,46.9,26.31,7.535,1.98,291,0,0.0213815,0.00140507,0,0,0,"013949004392026"
2015-07-01 11:29:00,7,1,11,34,37.7,26.62,8.195,2.0075,315,0,0.12663957,0.00928568,0,0,0,"013949004392026"
2015-07-01 13:29:00,7,1,13,36.8,34.09,26.77,8.25,2.0075,317,0,0.1582231,0.01258454,0,0,0,"013949004392026"
2015-07-01 15:29:00,7,1,15,35.2,41.7,27.22,7.7825,2.0075,300,0,0.16909712,0.01478378,0,0,0,"013949004392026"
2015-07-01 17:29:00,7,1,17,33.8,44.5,27.46,7.0675,2.0075,270,0,0.42347588,0.02712396,0,0,0,"013949004392026"
2015-07-01 19:29:00,7,1,19,31.3,44.2,26.94,7.1775,2.0075,275,0,0.33929386,0.01331762,0,0,0,"013949004392026"
2015-07-01 21:29:00,7,1,21,27.2,59.3,25.09,6.765,2.0075,81,0,0.09536149,0.00250469,0,0,0,"013949004392026"
2015-07-01 23:29:00,7,1,23,24.8,82,23.65,6.765,2.0075,7,0,0.08320458,0.00293232,0,0,0,"013949004392026"
2015-07-02 01:29:00,7,2,1,23.7,86.6,22.87,6.7375,2.0075,8,0,0.04502333,0.00201597,0,0,0,"013949004392026"
2015-07-02 03:29:00,7,2,3,22.1,90,21.86,6.71,2.0075,7,0,0.00226033,0,0,0,0,"013949004392026"
2015-07-02 05:29:00,7,2,5,21.2,95,21.02,6.71,1.98,172,0,0,0,0,0,0,"013949004392026"
2015-07-02 07:29:00,7,2,7,28,62,21.49,6.8475,2.0075,263,0,0.0006109,6.109e-05,0,0,0,"013949004392026"
2015-07-02 09:29:00,7,2,9,33.2,49.8,26.92,7.5625,2.0075,291,0,0.00635336,0.00073308,0,0,0,"013949004392026"
2015-07-02 11:29:00,7,2,11,36.59,39.9,27.34,8.03,2.0075,308,0,0.09829381,0.00678099,0,0,0,"013949004392026"
2015-07-02 13:29:00,7,2,13,35.4,46.5,27.78,8.1675,2.0075,313,0,0.13916302,0.01203473,0,0,0,"013949004392026"
2015-07-02 15:29:00,7,2,15,35.8,35.5,27.42,7.755,2.0075,299,0,0.62684449,0.04441243,3.152,0,0,"013949004392026"
2015-07-02 17:29:00,7,2,17,33.8,38.3,28.03,6.985,2.0075,268,0,0.67162346,0.04117466,0,0,0,"013949004392026"
2015-07-02 19:29:00,7,2,19,30.3,46.5,27.26,6.82,1.98,261,0,0.46678869,0.01967098,0,0,0,"013949004392026"
2015-07-02 21:29:00,7,2,21,26.8,60.6,24.51,6.765,2.0075,65,0,0.21350955,0.01673866,0,0,0,"013949004392026"
2015-07-02 23:29:00,7,2,23,24.9,82.9,23.15,6.7375,1.98,13,0,0.02779595,0.00250469,0,0,0,"013949004392026"
2015-07-03 01:29:00,7,3,1,23.4,83.8,22.15,6.71,1.98,14,0,0.00739189,0,0,0,0,"013949004392026"
2015-07-03 03:29:00,7,3,3,22.2,92.1,21.26,6.71,1.98,14,0,0.00073308,6.109e-05,0,0,0,"013949004392026"
2015-07-03 05:29:00,7,3,5,21.7,90.4,20.61,6.6825,2.0075,165,0,0.00898023,0.0006109,0,0,0,"013949004392026"
2015-07-03 07:29:00,7,3,7,26.5,64.8,21.21,6.8475,2.0075,263,0,0.00207706,0,0,0,0,"013949004392026"
2015-07-03 09:29:00,7,3,9,31.9,51.9,26.5,7.37,2.0075,284,0,0.0268796,0.00213815,0,0,0,"013949004392026"
2015-07-03 11:29:00,7,3,11,35.59,41.8,29.78,7.975,2.0075,306,0,0.05113233,0.00421521,0,0,0,"013949004392026"
2015-07-03 13:29:00,7,3,13,36.4,42.3,29.57,7.92,2.0075,304,0,0.15498533,0.01215691,0,0,0,"013949004392026"
2015-07-03 17:29:00,7,3,17,34.3,53.3,30.97,7.1225,2.0075,274,0,0.751407,0.05357593,0,0,0,"013949004392026"
2015-07-03 19:29:00,7,3,19,30.3,59.4,29.38,6.765,2.0075,257,0,0.51859301,0.03072827,0,0,0,"013949004392026"
2015-07-03 21:29:00,7,3,21,27.1,68.5,26.09,6.765,2.0075,24,0,0.27826495,0.01716629,0,0,0,"013949004392026"
2015-07-03 23:29:00,7,3,23,27.2,67.5,24.45,6.7375,2.0075,12,0,0.08662562,0.00684208,0,0,0,"013949004392026"
2015-07-04 01:29:00,7,4,1,24.7,80.9,23.36,6.7375,2.0075,13,0,0.02187022,0.00158834,0,0,0,"013949004392026"
2015-07-04 03:29:00,7,4,3,23.7,81.1,22.55,6.71,1.98,13,0,0.13103805,0.01197364,0,0,0,"013949004392026"
2015-07-04 05:29:00,7,4,5,22.9,79.4,21.57,6.6825,2.0075,168,0,0.03213334,0.00274905,0,0,0,"013949004392026"
2015-07-04 07:29:00,7,4,7,27.4,58.4,21.68,6.8475,2.0075,264,0,0.01001876,0.00079417,0,0,0,"013949004392026"
2015-07-04 09:29:00,7,4,9,32.4,45.4,27,7.37,2.0075,284,0,0.03579874,0.00268796,0,0,0,"013949004392026"
2015-07-04 11:29:00,7,4,11,35.4,38.2,29.56,7.8925,2.0075,303,0,0.07477416,0.00580355,0,0,0,"013949004392026"
2015-07-04 15:29:00,7,4,15,37.7,34.59,29.07,7.8375,2.0075,301,0,0.46318438,0.0409303,0,0,0,"013949004392026"
2015-07-04 17:29:00,7,4,17,35.4,39,30.17,7.04,2.0075,270,0,0.62470634,0.04435134,0,0,0,"013949004392026"
2015-07-04 19:29:00,7,4,19,31.3,52.7,28.9,6.875,1.98,264,0,0.65622878,0.03983068,0,0,0,"013949004392026"
2015-07-04 21:29:00,7,4,21,28,64.4,26.06,6.765,2.0075,70,0,0.25272933,0.01056857,0,0,0,"013949004392026"
2015-07-05 03:29:00,7,5,3,23.2,86,22.51,6.71,2.0075,14,0,0.00378758,0,0,0,0,"013949004392026"
2015-07-05 05:29:00,7,5,5,22.3,94.8,21.7,6.71,1.98,154,0,0,0,0,0,0,"013949004392026"
2015-07-05 07:29:00,7,5,7,26.7,67.1,22.09,6.875,2.0075,264,0,0,0,0,0,0,"013949004392026"
2015-07-05 09:29:00,7,5,9,33.2,51.6,27.33,7.3975,2.0075,285,0,0.02999519,0.00274905,0,0,0,"013949004392026"
2015-07-05 11:29:00,7,5,11,36.5,45,30.21,7.755,1.98,299,0,0.06121218,0.00458175,0,0,0,"013949004392026"
2015-07-05 13:29:00,7,5,13,37.09,46.4,30.16,7.865,1.98,303,0,0.12468469,0.0085526,0,0,0,"013949004392026"
2015-07-05 15:29:00,7,5,15,36.4,40.4,30.03,7.865,2.0075,303,0,0.44950022,0.04178556,0,0,0,"013949004392026"
2015-07-05 17:29:00,7,5,17,34.7,42.3,30.87,7.095,2.0075,272,0,0.64956997,0.0360431,0,0,0,"013949004392026"
2015-07-05 21:29:00,7,5,21,27.9,62.2,26.24,6.765,2.0075,53,0,0.13861321,0.00928568,0,0,0,"013949004392026"
2015-07-05 23:29:00,7,5,23,26.2,83.5,24.62,6.7375,2.0075,12,0,0.02981192,0.00134398,0,0,0,"013949004392026"
2015-07-06 01:29:00,7,6,1,24.9,85.9,23.84,6.7375,2.0075,12,0,0.03195007,0.00103853,0,0,0,"013949004392026"
2015-07-06 03:29:00,7,6,3,23.3,79,22.74,6.71,2.0075,13,0,0.00177161,0,0,0,0,"013949004392026"
2015-07-06 05:29:00,7,6,5,22.5,88,22.09,6.71,2.0075,156,0,0,0,0,0,0,"013949004392026"
2015-07-06 07:29:00,7,6,7,24.7,80.5,22.42,6.875,2.0075,264,0,0,0,0,0,0,"013949004392026"
2015-07-06 09:29:00,7,6,9,31.9,58.6,27.52,7.535,2.0075,290,0,0.01796046,0.00219924,0,0,0,"013949004392026"
2015-07-06 11:29:00,7,6,11,34,52.4,29.89,7.7825,2.0075,299,0,0.11191688,0.00763625,0,0,0,"013949004392026"
2015-07-06 13:29:00,7,6,13,36.2,42.6,29.78,7.975,2.0075,307,0,0.12908317,0.01032421,0,0,0,"013949004392026"
2015-07-06 15:29:00,7,6,15,35.2,42,29.48,7.8375,2.0075,301,0,0.57516235,0.04557314,0,0,0,"013949004392026"
2015-07-06 17:29:00,7,6,17,33.5,43.1,30.71,7.0675,2.0075,271,0,0.73039204,0.04264082,0,0,0,"013949004392026"
2015-07-06 19:29:00,7,6,19,30,52.7,28.81,6.8475,2.0075,262,0,0.64792054,0.04007504,0,0,0,"013949004392026"
2015-07-06 21:29:00,7,6,21,26.5,76.69,25.69,6.765,1.98,68,0,0.3207225,0.01398961,0,0,0,"013949004392026"
2015-07-06 23:29:00,7,6,23,24.9,93.9,24.17,6.765,1.98,12,0,0.06646592,0.0036654,0,0,0,"013949004392026"
2015-07-07 01:29:00,7,7,1,22.7,84.4,22.67,6.7375,1.98,13,0,0.01441724,0,0,0,0,"013949004392026"
2015-07-07 03:29:00,7,7,3,21.8,93.1,21.42,6.6825,1.98,13,0,0,0,0,0,0,"013949004392026"
2015-07-07 05:29:00,7,7,5,20.8,92.1,20.51,6.6825,1.98,146,0,0.00262687,0,0,0,0,"013949004392026"
2015-07-07 07:29:00,7,7,7,27.1,62.5,21.14,6.8475,2.0075,264,0,0.00274905,0.00024436,0,0,0,"013949004392026"
2015-07-07 09:29:00,7,7,9,32,53.7,26.83,7.48,2.0075,288,0,0.03537111,0.00323777,0,0,0,"013949004392026"
2015-07-07 11:30:00,7,7,11,34.5,48.3,29.29,7.81,2.0075,301,0,0.08686998,0.00580355,0,0,0,"013949004392026"
2015-07-07 13:29:00,7,7,13,36.4,46.1,29.47,7.975,2.0075,306,0,0.12816682,0.01270672,0,0,0,"013949004392026"
2015-07-07 15:29:00,7,7,15,35.59,42.6,29.42,7.7825,2.0075,299,0,0.50325942,0.03714272,0,0,0,"013949004392026"
2015-07-07 17:29:00,7,7,17,34.59,40.5,30.92,7.04,2.0075,270,0,0.59348935,0.04777238,0,0,0,"013949004392026"
2015-07-07 19:29:00,7,7,19,30.8,53.2,29.09,6.8475,2.0075,262,0,0.61988023,0.03463803,0,0,0,"013949004392026"
2015-07-07 21:29:00,7,7,21,27,80.5,26.2,6.765,1.98,53,0,0.38663861,0.02706287,0,0,0,"013949004392026"
2015-07-07 23:29:00,7,7,23,25.5,89.7,24.69,6.7375,2.0075,12,0,0.2272548,0.00464284,0,0,0,"013949004392026"
2015-07-08 01:29:00,7,8,1,24.1,94.1,23.61,6.7375,1.98,13,0,0.02339747,0.00201597,0,0,0,"013949004392026"
2015-07-08 03:29:00,7,8,3,22.9,90.1,22.61,6.6825,2.0075,13,0,0.01148492,0.00109962,0,0,0,"013949004392026"
2015-07-08 05:29:00,7,8,5,22.2,87.7,21.94,6.6825,1.98,138,0,0.00531483,0.00048872,0,0,0,"013949004392026"
