"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-26 00:28:00,6,26,0,26.6,26.6,25.43,0,2.1175,0,0,0,0,0,0,0,"013226003537905"
2015-06-26 00:39:00,6,26,0,25.9,25.9,25.4,0,2.09,0,0,0.00250469,0,64.616,0,0,"013226003537905"
2015-06-27 15:43:00,6,27,15,27,27,26.14,12.6225,4.2075,460,0,0.00262687,0,67.768,0,0,"013226003537905"
2015-06-27 15:57:00,6,27,15,27.4,27.4,26.2,0,4.1525,458,0,0.00293232,0,75.648,0,0,"013226003537905"
2015-06-27 16:18:00,6,27,16,26.7,26.7,26.25,12.21,4.0975,448,0,0.00268796,0,67.768,0,0,"013226003537905"
2015-06-30 07:46:00,6,30,7,24.5,24.5,0,12.705,4.565,458,112,0,0,0,0,1,"013226003537905"
2015-06-30 08:27:00,6,30,8,22.3,22.3,22.28,11.715,4.4,419,175,0.00873587,0,225.368,0,0,"013226003537905"
2015-06-30 10:28:00,6,30,10,25.7,25.7,26.8,11.495,4.2625,419,44,0.4257973,0.02742941,10983.144,707.624,0,"013226003537905"
2015-06-30 12:29:00,6,30,12,27.8,27.8,27.88,11.4125,4.235,416,21,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-06-30 16:28:00,6,30,16,28.9,28.9,28.23,11.5225,4.2625,419,16,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-06-30 18:28:00,6,30,18,29,29,28.14,11.5225,4.2625,418,13,0.42188754,0.02742941,10882.28,707.624,0,"013226003537905"
2015-06-30 20:28:00,6,30,20,27.4,27.4,27.17,11.5225,4.29,419,19,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-06-30 22:28:00,6,30,22,22.8,22.8,24.36,11.55,4.455,420,53,0.42194863,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-01 00:28:00,7,1,0,21.1,21.1,23.03,11.5225,4.4825,416,50,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-07-01 02:28:00,7,1,2,19.6,19.6,21.8,11.55,4.62,418,68,0.42194863,0.02742941,10887.008,707.624,0,"013226003537905"
2015-07-01 04:28:00,7,1,4,18.29,18.29,21.15,11.495,4.7025,415,68,0.42200972,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-01 06:28:00,7,1,6,19.2,19.2,21.49,11.3025,4.675,410,50,0.42194863,0.02742941,10887.008,707.624,0,"013226003537905"
2015-07-01 07:33:00,7,1,7,27.2,27.2,26.23,11.3575,4.345,207,18,0.17080764,0,4404.92,0,0,"013226003537905"
2015-07-01 07:36:00,7,1,7,26,26,24.73,11.385,4.4,413,33,0.00311559,0,80.376,0,0,"013226003537905"
2015-07-01 09:29:00,7,1,9,32.8,32.8,35.81,11.5775,4.235,428,3,0.39189235,0.02742941,10110.04,707.624,0,"013226003537905"
2015-07-01 11:28:00,7,1,11,29.1,29.1,29.7,11.5775,4.2625,428,4,0.41950503,0.02742941,10820.816,707.624,0,"013226003537905"
2015-07-01 13:28:00,7,1,13,29.7,29.7,29.32,11.5225,4.2625,425,3,0.42194863,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-01 15:28:00,7,1,15,30,30,29.3,11.495,4.2625,423,3,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-07-01 17:28:00,7,1,17,30.3,30.3,29.59,11.4675,4.2625,423,3,0.42188754,0.02742941,10883.856,707.624,0,"013226003537905"
2015-07-01 19:28:00,7,1,19,29.8,29.8,29.24,11.4675,4.235,423,2,0.42188754,0.02742941,10882.28,707.624,0,"013226003537905"
2015-07-01 21:28:00,7,1,21,25.8,25.8,26.42,11.4125,4.2625,106,3,0.42176536,0.02742941,10882.28,707.624,0,"013226003537905"
2015-07-01 23:28:00,7,1,23,23.3,23.3,24.52,11.385,4.235,26,7,0.42194863,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-02 01:28:00,7,2,1,21.6,21.6,23.31,11.3575,4.235,32,10,0.42194863,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-02 03:28:00,7,2,3,21.2,21.2,22.92,11.33,4.235,40,12,0.42188754,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-02 07:28:00,7,2,7,24.1,24.1,25.45,11.5225,4.455,414,22,0.42194863,0.02742941,10885.432,707.624,0,"013226003537905"
2015-07-02 09:28:00,7,2,9,34.09,34.09,27.84,11.5225,4.2625,426,3,0.42188754,0.02742941,10882.28,707.624,0,"013226003537905"
2015-07-02 09:45:00,7,2,9,32.09,32.09,0,0,4.2075,0,0,0,0,0,0,1,"013226003537905"
2015-07-02 09:56:00,7,2,9,30.1,30.1,27.37,11.7975,4.0425,441,0,0.00562028,0,154.448,0,0,"013226003537905"
2015-07-02 13:58:00,7,2,13,30.8,30.8,29.94,11.77,4.2625,437,0,0.41889413,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-02 15:58:00,7,2,15,31.1,31.1,29.9,11.7975,4.2625,438,0,0.41889413,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-02 17:58:00,7,2,17,31.7,31.7,30.32,11.77,4.2625,436,0,0.41889413,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-02 19:58:00,7,2,19,30.4,30.4,29.65,11.7425,4.2625,434,0,0.41883304,0.02742941,10801.904,707.624,0,"013226003537905"
2015-07-02 21:58:00,7,2,21,27.7,27.7,28.01,11.715,4.2625,58,0,0.41889413,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-02 23:58:00,7,2,23,26.3,26.3,26.93,11.66,4.2625,58,0,0.41889413,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-03 01:58:00,7,3,1,24,24,25.55,11.605,4.2625,23,0,0.41883304,0.02742941,10806.632,707.624,0,"013226003537905"
2015-07-03 03:58:00,7,3,3,22.4,22.4,24.43,11.55,4.2625,19,0,0.41883304,0.02742941,10803.48,707.624,0,"013226003537905"
2015-07-03 05:58:00,7,3,5,21.4,21.4,23.41,11.4675,4.2625,423,0,0.41889413,0.02742941,10805.056,707.624,0,"013226003537905"
2015-07-03 07:58:00,7,3,7,26.8,26.8,28.69,11.6325,4.2625,433,0,0.41883304,0.02742941,10805.056,707.624,0,"013226003537905"
2015-07-03 09:58:00,7,3,9,33.5,33.5,30.12,12.0725,4.2625,450,0,0.41877195,0.02742941,10803.48,707.624,0,"013226003537905"
2015-07-03 13:58:00,7,3,13,32,32,31.06,11.9625,4.2625,444,0,0.41345712,0.02675742,10600.176,682.408,0,"013226003537905"
2015-07-03 15:58:00,7,3,15,32.3,32.3,31.43,11.9075,4.2625,442,0,0.26702439,0.02742941,6887.12,707.624,0,"013226003537905"
2015-07-03 17:58:00,7,3,17,32.09,32.09,31.66,11.88,4.2625,441,0,0.27533263,0.00946895,6466.328,165.48,0,"013226003537905"
2015-07-03 19:58:00,7,3,19,29.4,29.4,29.59,11.825,4.2625,416,0,0,0,0,0,0,"013226003537905"
