"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-26 01:56:00,6,26,1,18.5,63.5,19.37,4.73,1.98,163,12,0,0,0,0,0,"013949001703985"
2015-06-26 03:56:00,6,26,3,16.7,74,18,4.73,1.8975,164,9,0,0,0,0,0,"013949001703985"
2015-06-26 05:56:00,6,26,5,15.9,77.8,17.11,4.73,1.8425,165,7,0,0,0,0,0,"013949001703985"
2015-06-26 07:56:00,6,26,7,19.79,66,18.67,4.73,1.815,166,7,0,0,0,0,0,"013949001703985"
2015-06-26 09:56:00,6,26,9,24.8,46.7,23.54,4.73,1.7875,166,7,0.0128289,0.00085526,0,0,0,"013949001703985"
2015-06-26 11:56:00,6,26,11,28.3,37.2,28.24,4.73,1.7875,167,7,0.01918226,0.00134398,0,0,0,"013949001703985"
2015-06-26 13:56:00,6,26,13,35.2,28.5,31.51,4.73,1.76,168,6,0.03219443,0.00164943,0,0,0,"013949001703985"
2015-06-26 15:56:00,6,26,15,36.7,25,35.46,4.7025,1.76,168,5,0.01820482,0.00128289,0,0,0,"013949001703985"
2015-06-26 17:56:00,6,26,17,34.7,26.1,39.96,4.7025,1.7875,168,4,0.01844918,0.0012218,0,0,0,"013949001703985"
2015-06-26 19:56:00,6,26,19,27.5,41.4,30.28,4.7025,1.7325,169,3,0.00586464,0.00018327,0,0,0,"013949001703985"
2015-06-26 21:56:00,6,26,21,22.8,65.69,25.93,4.675,1.705,169,3,0,0,0,0,0,"013949001703985"
2015-06-26 23:56:00,6,26,23,20.9,70.9,22.87,4.6475,1.705,168,2,0,0,0,0,0,"013949001703985"
2015-06-27 01:56:00,6,27,1,19.6,77.19,20.92,4.6475,1.6775,168,2,0,0,0,0,0,"013949001703985"
2015-06-27 03:56:00,6,27,3,18.2,81.4,19.44,4.62,1.6775,168,2,0,0,0,0,0,"013949001703985"
2015-06-27 05:56:00,6,27,5,18,82.9,18.78,4.62,1.6775,167,2,0,0,0,0,0,"013949001703985"
2015-06-27 07:56:00,6,27,7,21,75.3,20.14,4.62,1.6775,167,2,0,0,0,0,0,"013949001703985"
2015-06-27 09:56:00,6,27,9,26.6,53.7,24.65,4.62,1.6775,167,2,0.00397085,0.00036654,0,0,0,"013949001703985"
2015-06-27 11:56:00,6,27,11,30.9,37.7,30.17,4.62,1.705,168,2,0.01227909,0.00109962,0,0,0,"013949001703985"
2015-06-27 13:56:00,6,27,13,34.8,30.2,33.99,4.62,1.7325,167,2,0.01570013,0.00073308,0,0,0,"013949001703985"
2015-06-27 15:56:00,6,27,15,37.8,27.5,36.71,4.62,1.705,168,2,0.02981192,0.00195488,0,0,0,"013949001703985"
2015-06-27 17:25:00,6,27,17,31.2,37.3,30.44,9.2125,3.355,334,0,0,0,0,0,0,"013949001703985"
2015-06-27 17:32:00,6,27,17,30.6,37.5,30.01,9.185,3.355,334,2,0,0,0,0,0,"013949001703985"
2015-06-27 18:56:00,6,27,18,31.6,36.4,30.85,9.2125,3.3275,336,3,0,0,0,0,0,"013949001703985"
2015-06-27 20:56:00,6,27,20,27.6,50.4,27.61,9.185,3.3275,335,4,0,0,0,0,0,"013949001703985"
2015-06-27 22:56:00,6,27,22,22.9,59.3,23.17,9.185,3.3275,335,3,0,0,0,0,0,"013949001703985"
2015-06-28 00:56:00,6,28,0,20.7,68.1,20.96,9.1575,3.3,334,3,0,0,0,0,0,"013949001703985"
2015-06-28 02:56:00,6,28,2,19.7,80.19,19.67,9.13,3.3,334,3,0,0,0,0,0,"013949001703985"
2015-06-28 04:56:00,6,28,4,18.2,87.9,18.01,9.13,3.3,333,3,0,0,0,0,0,"013949001703985"
2015-06-28 06:56:00,6,28,6,19.29,85.8,19.52,9.13,3.3,333,3,0,0,0,0,0,"013949001703985"
2015-06-28 08:56:00,6,28,8,23.8,62.8,24.13,9.13,3.3,334,4,0,0,0,0,0,"013949001703985"
2015-06-28 10:56:00,6,28,10,28,50.2,27.85,9.13,3.3,334,4,0,0,0,0,0,"013949001703985"
2015-06-28 12:56:00,6,28,12,33.2,33.9,32.4,9.13,3.3,334,4,0,0,0,0,0,"013949001703985"
2015-06-28 14:56:00,6,28,14,35.59,33.3,34.87,9.1575,3.3,334,4,0,0,0,0,0,"013949001703985"
2015-06-28 16:56:00,6,28,16,37.5,29.9,35.31,9.185,3.3,334,5,0,0,0,0,0,"013949001703985"
2015-06-28 18:56:00,6,28,18,30.3,38.2,29.84,9.1575,3.2725,335,4,0,0,0,0,0,"013949001703985"
2015-06-28 20:56:00,6,28,20,27.3,52.4,27.06,9.13,3.2725,336,4,0,0,0,0,0,"013949001703985"
2015-06-28 22:56:00,6,28,22,24.3,63.3,24.54,9.13,3.2725,333,3,0,0,0,0,0,"013949001703985"
2015-06-29 00:56:00,6,29,0,22.4,65.4,22.61,9.1025,3.2725,333,3,0,0,0,0,0,"013949001703985"
2015-06-29 02:56:00,6,29,2,21.3,73.5,21.34,9.075,3.245,331,3,0,0,0,0,0,"013949001703985"
2015-06-29 04:56:00,6,29,4,19.5,74.6,19.66,9.075,3.245,331,3,0,0,0,0,0,"013949001703985"
2015-06-29 06:56:00,6,29,6,20.5,73.4,20.68,9.0475,3.245,330,3,0,0,0,0,0,"013949001703985"
2015-06-29 08:56:00,6,29,8,24.9,61.6,25.61,9.0475,3.245,330,3,0,0,0,0,0,"013949001703985"
2015-06-29 10:56:00,6,29,10,28.2,46.5,27.87,9.075,3.245,331,4,0,0,0,0,0,"013949001703985"
2015-06-29 12:56:00,6,29,12,30.4,41.5,29.89,9.075,3.2175,332,4,0,0,0,0,0,"013949001703985"
2015-06-29 14:56:00,6,29,14,33.4,36.2,31.78,9.075,3.245,331,3,0,0,0,0,0,"013949001703985"
2015-06-29 16:56:00,6,29,16,35.5,31.9,33.63,9.1025,3.245,330,4,0,0,0,0,0,"013949001703985"
2015-06-29 18:55:00,6,29,18,29.3,42,29.21,9.1025,3.2175,331,39,0.00146616,0,11.032,0,0,"013949001703985"
2015-06-29 19:02:00,6,29,19,29.3,41.6,29.19,9.1025,3.2175,331,32,0.0042763,0,0,0,0,"013949001703985"
2015-06-29 19:06:00,6,29,19,29.3,41.2,29.27,9.075,3.2175,330,31,0.00140507,0,0,0,0,"013949001703985"
2015-06-30 00:27:00,6,30,0,22.1,67.4,22.18,12.7325,4.07,14,0,0.00042763,0,0,0,0,"013949001703985"
2015-06-30 02:27:00,6,30,2,20.6,72.8,20.87,12.705,4.07,12,0,0,0,0,0,0,"013949001703985"
2015-06-30 04:27:00,6,30,4,19.79,77.9,19.97,12.705,4.07,11,0,0,0,0,0,0,"013949001703985"
2015-06-30 06:27:00,6,30,6,19.6,74.9,19.99,12.6775,4.07,466,0,0,0,0,0,0,"013949001703985"
2015-06-30 08:27:00,6,30,8,23.7,59.7,24.19,12.9525,4.07,477,0,0.00262687,0.00030545,0,0,0,"013949001703985"
2015-06-30 10:25:00,6,30,10,28.2,45,28.83,13.1725,4.07,485,0,0.03524893,0.00317668,0,0,0,"013949001703985"
2015-06-30 12:27:00,6,30,12,30.5,39.2,32.86,13.5575,4.0975,499,1,0.07917264,0.0048872,0,0,0,"013949001703985"
2015-06-30 14:27:00,6,30,14,36,30.2,34.54,15.84,4.125,582,1,0.06591611,0.00397085,0,0,0,"013949001703985"
2015-06-30 16:25:00,6,30,16,38.59,27,36.12,16.1975,4.125,595,1,0.03476021,0.00226033,0,0,0,"013949001703985"
2015-06-30 18:25:00,6,30,18,34.59,32.8,30.68,16.005,4.125,587,1,0.04386262,0.00213815,0,0,0,"013949001703985"
