"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-06-29 10:44:00,6,29,10,32.59,32.7,30.5,6.4075,2.1175,238,0,0.00928568,0,0,0,0,"013949001846081"
2015-06-29 10:52:00,6,29,10,32.2,34,30.03,6.435,2.1175,240,0,0.01288999,0,33.096,0,0,"013949001846081"
2015-06-29 14:40:00,6,29,14,34.5,41,29.74,6.545,2.1175,243,0,0.21057723,0.01515032,0,0,0,"013949001846081"
2015-06-29 16:40:00,6,29,16,33.3,40.2,31.05,6.4625,2.1175,239,0,0.22291741,0.01496705,0,0,0,"013949001846081"
2015-06-29 18:40:00,6,29,18,28.7,55.2,29.88,6.38,2.1175,236,0,0.17746645,0.01044639,0,0,0,"013949001846081"
2015-06-29 20:40:00,6,29,20,25.6,77.19,26.8,6.325,2.1175,234,0,0.11924768,0.00690317,0,0,0,"013949001846081"
2015-06-29 22:40:00,6,29,22,23.5,90,23.9,6.2975,2.1175,11,0,0.04312954,0.0024436,0,0,0,"013949001846081"
2015-06-30 00:40:00,6,30,0,22.5,95.6,21.68,6.2975,2.1175,46,0,0.00134398,6.109e-05,0,0,0,"013949001846081"
2015-06-30 02:40:00,6,30,2,20.8,87.2,20.03,6.27,2.1175,44,0,0.00116071,0,0,0,0,"013949001846081"
2015-06-30 04:40:00,6,30,4,20.4,94.1,19.4,6.2425,2.1175,42,0,0.01508923,0.00146616,0,0,0,"013949001846081"
2015-06-30 06:40:00,6,30,6,20,94.3,19.28,6.2425,2.1175,232,0,0.0091635,0.00036654,0,0,0,"013949001846081"
2015-06-30 08:40:00,6,30,8,23.7,74.19,20.79,6.38,2.1175,237,0,0.02736832,0.00293232,0,0,0,"013949001846081"
2015-06-30 10:40:00,6,30,10,30,48.3,25.56,6.6,2.1175,245,0,0.09194045,0.00720862,0,0,0,"013949001846081"
2015-06-30 12:40:00,6,30,12,35.2,39.7,27.71,6.7375,2.1175,250,0,0.19341094,0.01179037,0,0,0,"013949001846081"
2015-06-30 14:40:00,6,30,14,34.9,42,29.86,6.765,2.1175,251,0,0.30929867,0.02266439,0,0,0,"013949001846081"
2015-06-30 16:40:00,6,30,16,33.8,46.3,31.59,6.6825,2.1175,248,0,0.31467459,0.01967098,0,0,0,"013949001846081"
2015-06-30 18:40:00,6,30,18,28.9,61.7,29.01,6.6,2.1175,244,0,0.21943528,0.01191255,0,0,0,"013949001846081"
2015-06-30 20:40:00,6,30,20,26.2,65.4,25.21,6.545,2.1175,241,0,0.10342537,0.00403194,0,0,0,"013949001846081"
2015-06-30 22:40:00,6,30,22,24.1,85.3,22.9,6.5175,2.1175,45,0,0.03366059,0.00158834,0,0,0,"013949001846081"
2015-07-01 02:40:00,7,1,2,22.2,91.4,21.09,6.4625,2.1175,46,0,0.00384867,0.00042763,0,0,0,"013949001846081"
2015-07-01 04:40:00,7,1,4,20.9,93.5,20.18,6.4625,2.1175,46,0,0.00617009,0.00030545,0,0,0,"013949001846081"
2015-07-01 06:40:00,7,1,6,20.8,93.6,19.9,6.4625,2.1175,239,0,0.0006109,0,0,0,0,"013949001846081"
2015-07-01 08:40:00,7,1,8,26.6,62.8,21.77,6.6,2.1175,244,0,0.01521141,0.00109962,0,0,0,"013949001846081"
2015-07-01 10:40:00,7,1,10,34.4,33.8,26.84,7.0125,2.1175,260,0,0.1545577,0.01191255,0,0,0,"013949001846081"
2015-07-01 12:40:00,7,1,12,36.59,32.9,27.89,7.0675,2.1175,262,0,0.22181779,0.01362307,0,0,0,"013949001846081"
2015-07-01 14:40:00,7,1,14,34.9,41.3,29.8,7.095,2.1175,263,0,0.31626293,0.02327529,0,0,0,"013949001846081"
2015-07-01 16:40:00,7,1,16,34,45.5,32.04,6.875,2.1175,254,0,0.30477801,0.0195488,0,0,0,"013949001846081"
2015-07-01 18:41:00,7,1,18,30.4,52.4,29.9,6.765,2.1175,250,0,0.21638078,0.00824715,0,0,0,"013949001846081"
2015-07-01 20:40:00,7,1,20,26.7,76.1,26.11,6.71,2.1175,247,0,0.06774881,0.00268796,0,0,0,"013949001846081"
2015-07-01 22:40:00,7,1,22,24.8,89.4,23.53,6.6825,2.1175,45,0,0.01124056,0.00012218,0,0,0,"013949001846081"
2015-07-02 00:40:00,7,2,0,23.9,97.9,22.36,6.655,2.1175,47,0,0.00500938,0.00012218,0,0,0,"013949001846081"
2015-07-02 02:40:00,7,2,2,22.8,99.9,21.74,6.655,2.1175,46,0,0.00146616,0.00012218,0,0,0,"013949001846081"
2015-07-02 04:40:00,7,2,4,21.6,99.6,20.95,6.6275,2.1175,46,0,0.00757516,0.00048872,0,0,0,"013949001846081"
2015-07-02 06:40:00,7,2,6,21.3,94.3,20.54,6.6275,2.1175,245,0,0.01001876,0.0012218,0,0,0,"013949001846081"
2015-07-02 08:41:00,7,2,8,26.2,72.6,22.34,6.7925,2.1175,251,0,0.03671509,0.00299341,0,0,0,"013949001846081"
2015-07-02 10:41:00,7,2,10,32.3,53.1,27.49,8.0025,2.1175,296,0,0.12297417,0.00971331,0,0,0,"013949001846081"
2015-07-02 12:41:00,7,2,12,35.09,40.3,28.74,7.9475,2.1175,295,0,0.2235894,0.01667757,0,0,0,"013949001846081"
2015-07-02 14:40:00,7,2,14,36.9,29.9,29.72,7.81,2.1175,289,0,0.30569436,0.02040406,0,0,0,"013949001846081"
2015-07-02 16:41:00,7,2,16,36.3,35,32.96,6.985,2.1175,258,0,0.2553562,0.01661648,0,0,0,"013949001846081"
2015-07-02 18:40:00,7,2,18,30,51.1,29.96,6.8475,2.1175,253,0,0.23434124,0.01398961,0,0,0,"013949001846081"
2015-07-02 20:41:00,7,2,20,26.7,66.9,25.82,6.765,2.1175,249,0,0.1081293,0.00464284,0,0,0,"013949001846081"
2015-07-02 22:41:00,7,2,22,24.5,89.8,23.49,6.7375,2.1175,45,0,0.03091154,0.00042763,0,0,0,"013949001846081"
2015-07-03 00:41:00,7,3,0,23.6,93.1,22.17,6.71,2.1175,47,0,0.00287123,0.00012218,0,0,0,"013949001846081"
2015-07-03 02:41:00,7,3,2,22.6,93,21.5,6.6825,2.1175,44,0,0.00274905,0.00030545,0,0,0,"013949001846081"
2015-07-03 04:41:00,7,3,4,21.7,96.6,20.66,6.6825,2.1175,44,0,0.00678099,0.00024436,0,0,0,"013949001846081"
2015-07-03 06:41:00,7,3,6,21.9,86.1,21.11,6.6825,2.1175,247,0,0.02889557,0.00348213,0,0,0,"013949001846081"
2015-07-03 08:41:00,7,3,8,25.7,73.19,23.34,6.9575,2.1175,257,0,0.03952523,0.00390976,0,0,0,"013949001846081"
2015-07-03 10:40:00,7,3,10,33.59,47.2,28.18,8.1675,2.1175,302,0,0.1319544,0.00965222,0,0,0,"013949001846081"
2015-07-03 12:41:00,7,3,12,37.2,38,29.46,8.2775,2.1175,306,0,0.1820482,0.01252345,0,0,0,"013949001846081"
2015-07-03 14:40:00,7,3,14,35,47.9,30.89,8.1125,2.1175,300,0,0.3445476,0.02559671,0,0,0,"013949001846081"
2015-07-03 16:40:00,7,3,16,35.4,45.3,34.03,7.1225,2.1175,263,0,0.37796383,0.02211458,0,0,0,"013949001846081"
2015-07-03 18:40:00,7,3,18,30.6,58.2,29.74,6.93,2.1175,256,0,0.43056232,0.02956756,0,0,0,"013949001846081"
2015-07-03 20:40:00,7,3,20,26.1,77.3,25.7,6.7375,2.1175,112,0,0.54816057,0.04673385,0,0,0,"013949001846081"
2015-07-03 22:41:00,7,3,22,25.6,78.6,23.86,6.71,2.1175,43,0,0.30190678,0.00378758,0,0,0,"013949001846081"
2015-07-04 00:41:00,7,4,0,24.8,82.9,23.05,6.71,2.1175,42,0,0.05724133,0.00103853,0,0,0,"013949001846081"
2015-07-04 02:41:00,7,4,2,23.9,90.8,22.82,6.71,2.1175,46,0,0.1887681,0.0030545,0,0,0,"013949001846081"
2015-07-04 04:41:00,7,4,4,23.3,92,21.94,6.6825,2.1175,43,0,0.00452066,0.00018327,0,0,0,"013949001846081"
2015-07-04 06:41:00,7,4,6,23.1,86.9,21.8,6.6825,2.1175,247,0,0.04661167,0.00158834,0,0,0,"013949001846081"
2015-07-04 08:40:00,7,4,8,27.5,68.5,23.58,6.93,2.1175,256,0,0.0293232,0.00268796,0,0,0,"013949001846081"
2015-07-04 10:40:00,7,4,10,35.4,41,28.42,7.7275,2.1175,286,0,0.13696378,0.00922459,0,0,0,"013949001846081"
2015-07-04 12:40:00,7,4,12,38.59,27.4,28.84,8.3325,2.1175,308,0,0.1960989,0.01246236,0,0,0,"013949001846081"
2015-07-04 14:40:00,7,4,14,37.7,36.4,31.24,8.14,2.1175,300,0,0.29066622,0.02003752,0,0,0,"013949001846081"
2015-07-04 16:40:00,7,4,16,38,33.5,34.74,7.095,2.1175,262,0,0.28559575,0.01844918,0,0,0,"013949001846081"
2015-07-04 18:41:00,7,4,18,31.5,46.5,29.57,6.8475,2.1175,253,0,0.23910626,0.01288999,0,0,0,"013949001846081"
2015-07-04 20:41:00,7,4,20,28.3,57.7,25.99,6.7375,2.1175,248,0,0.11717062,0.00458175,0,0,0,"013949001846081"
2015-07-04 22:40:00,7,4,22,26.7,86.8,24.91,6.71,2.1175,42,0,0.07666795,0.00781952,0,0,0,"013949001846081"
2015-07-05 04:41:00,7,5,4,23.1,85.5,22.25,6.6825,2.1175,43,0,0.00537592,0.00054981,0,0,0,"013949001846081"
2015-07-05 06:41:00,7,5,6,23.1,87.5,22.17,6.71,2.1175,248,0,0.01441724,0.00171052,0,0,0,"013949001846081"
2015-07-05 08:40:00,7,5,8,27,74.8,24.25,6.93,2.1175,257,0,0.0598682,0.00555919,0,0,0,"013949001846081"
2015-07-05 10:40:00,7,5,10,33.7,47.9,28.77,7.645,2.1175,284,0,0.11936986,0.00812497,0,0,0,"013949001846081"
2015-07-05 12:40:00,7,5,12,36.8,49.1,30.17,8.36,2.1175,309,0,0.27038434,0.0171052,0,0,0,"013949001846081"
2015-07-05 14:40:00,7,5,14,36.5,42,31.3,7.975,2.1175,295,0,0.31064265,0.02064842,0,0,0,"013949001846081"
2015-07-05 16:40:00,7,5,16,36.9,39.2,34.31,7.15,2.1175,264,0,0.35193949,0.02235894,0,0,0,"013949001846081"
2015-07-05 18:41:00,7,5,18,31.5,36.8,28.92,6.875,2.1175,253,0,0.21754149,0.0128289,0,0,0,"013949001846081"
2015-07-05 20:41:00,7,5,20,28,65.1,26.05,6.7375,2.1175,248,0,0.10434172,0.00433739,0,0,0,"013949001846081"
2015-07-05 22:41:00,7,5,22,25.9,83.1,24.03,6.7375,2.1175,46,0,0.02089278,0.00024436,0,0,0,"013949001846081"
2015-07-06 00:41:00,7,6,0,24.6,97.2,23.34,6.71,2.1175,46,0,0.00684208,6.109e-05,0,0,0,"013949001846081"
