"datatime","mese","data","ora","tair","rhum","watertemp","volt","voltLiPo","solar1","solar2","RPMTops","RPMLast","pp","ppLast","interpolate","id"
2015-07-25 14:55:00,7,25,14,31.8,50.2,31.68,12.705,4.29,104,0,0,0,0,0,0,"013949009983688"
2015-07-25 15:01:00,7,25,15,31.8,50.5,31.68,12.6775,4.29,105,0,0.00335995,0,1.576,0,0,"013949009983688"
2015-07-25 15:07:00,7,25,15,31.5,51.8,30.92,12.6775,4.29,274,0,0,0,0,0,0,"013949009983688"
2015-07-25 15:12:00,7,25,15,31.4,52.5,30.69,12.6775,4.29,274,0,0.00274905,0,0,0,0,"013949009983688"
2015-07-25 17:05:00,7,25,17,31.1,54,30.26,12.6775,4.29,286,0,0,0,0,0,0,"013949009983688"
2015-07-25 17:11:00,7,25,17,31.1,54,30.59,12.6775,4.29,266,0,0,0,0,0,0,"013949009983688"
2015-07-25 17:19:00,7,25,17,31.1,54.3,30.59,12.6775,4.29,241,0,0,0,0,0,0,"013949009983688"
2015-07-25 17:46:00,7,25,17,31.1,55.6,30.59,12.6775,4.2625,132,0,0.00054981,0,0,0,0,"013949009983688"
2015-07-25 17:57:00,7,25,17,31.1,55.3,30.62,12.6775,4.29,197,0,0,0,0,0,0,"013949009983688"
2015-07-25 19:58:00,7,25,19,31.1,55.3,33.78,12.65,4.2625,38,0,0.00342104,0,12.608,0,0,"013949009983688"
2015-07-25 21:58:00,7,25,21,34.2,49.5,31.28,12.65,4.2625,38,0,0,0,0,0,0,"013949009983688"
2015-07-25 23:58:00,7,25,23,32.09,49.3,29.12,12.6225,4.2625,36,0,0,0,0,0,0,"013949009983688"
2015-07-26 01:58:00,7,26,1,30.1,47.9,27.34,12.6225,4.2625,33,0,0,0,0,0,0,"013949009983688"
2015-07-26 03:58:00,7,26,3,28.3,47.8,25.23,12.6225,4.2625,31,0,0,0,0,0,0,"013949009983688"
2015-07-26 05:58:00,7,26,5,26.6,47.5,23.53,12.595,4.2625,29,0,0,0,0,0,0,"013949009983688"
2015-07-26 07:58:00,7,26,7,25,48.1,23.84,12.595,4.2625,31,0,0,0,0,0,0,"013949009983688"
2015-07-26 09:58:00,7,26,9,24.6,48.8,30.47,12.5675,4.2625,35,0,0,0,0,0,0,"013949009983688"
2015-07-26 11:58:00,7,26,11,28.8,60.2,39.07,12.595,4.2625,45,0,0,0,0,0,0,"013949009983688"
2015-07-26 13:58:00,7,26,13,36.2,62.6,43.49,12.6225,4.2625,54,0,0.00024436,0,0,0,0,"013949009983688"
2015-07-26 15:59:00,7,26,15,40.8,34.7,39.72,12.595,4.2625,131,0,0.00024436,0,1.576,0,0,"013949009983688"
2015-07-26 17:59:00,7,26,17,38,31.5,40.05,12.6225,4.2625,70,0,0,0,0,0,0,"013949009983688"
2015-07-26 19:59:00,7,26,19,40.09,32.2,34.34,12.595,4.2625,71,0,0,0,0,0,0,"013949009983688"
2015-07-26 21:59:00,7,26,21,35.7,38.3,30.61,12.5675,4.2625,44,0,0,0,0,0,0,"013949009983688"
2015-07-26 23:59:00,7,26,23,31.9,41,27.84,12.5675,4.2625,39,0,0,0,0,0,0,"013949009983688"
2015-07-27 01:59:00,7,27,1,29.1,41.4,25.06,12.54,4.2625,35,0,0,0,0,0,0,"013949009983688"
2015-07-27 03:59:00,7,27,3,26.8,41.2,23.82,12.54,4.2625,31,0,0,0,0,0,0,"013949009983688"
2015-07-27 05:59:00,7,27,5,25.4,41.6,22.55,12.54,4.2625,29,0,0,0,0,0,0,"013949009983688"
2015-07-27 07:59:00,7,27,7,24.2,42.1,24.54,12.5125,4.2625,59,0,0,0,0,0,0,"013949009983688"
2015-07-27 09:59:00,7,27,9,24.3,43.2,38.58,12.5125,4.2625,73,0,0,0,0,0,0,"013949009983688"
2015-07-27 11:59:00,7,27,11,34.09,55.6,46.51,12.54,4.2625,70,0,0,0,0,0,0,"013949009983688"
2015-07-27 13:59:00,7,27,13,41.9,45.7,48.66,12.54,4.2625,65,0,0,0,0,0,0,"013949009983688"
2015-07-27 15:59:00,7,27,15,44.7,32.5,43.79,12.54,4.2625,72,0,0,0,0,0,0,"013949009983688"
2015-07-27 18:00:00,7,27,18,43.2,32.5,40.51,12.54,4.2625,69,0,0,0,0,0,0,"013949009983688"
2015-07-27 20:00:00,7,27,20,40.8,32.3,35.5,12.54,4.2625,54,0,0,0,0,0,0,"013949009983688"
2015-07-27 22:00:00,7,27,22,36.59,40.7,31.01,12.5125,4.2625,49,0,6.109e-05,0,6.304,0,0,"013949009983688"
2015-07-28 00:00:00,7,28,0,31.9,50.1,29.12,12.5125,4.2625,42,0,0,0,0,0,0,"013949009983688"
2015-07-28 02:00:00,7,28,2,30.1,47,26.71,12.5125,4.2625,38,0,0,0,0,0,0,"013949009983688"
2015-07-28 04:00:00,7,28,4,27.7,46.3,24.79,12.485,4.2625,33,0,0,0,0,0,0,"013949009983688"
2015-07-28 06:00:00,7,28,6,26,46.5,23.14,12.485,4.2625,31,0,0,0,0,0,0,"013949009983688"
2015-07-28 08:00:00,7,28,8,24.3,46.8,23.77,12.4575,4.2625,33,0,0,0,0,0,0,"013949009983688"
2015-07-28 10:00:00,7,28,10,24.4,47.2,36.34,12.4575,4.2625,75,0,0,0,0,0,0,"013949009983688"
2015-07-28 12:00:00,7,28,12,35.9,47,45.52,12.485,4.2625,67,0,0,0,0,0,0,"013949009983688"
2015-07-28 14:01:00,7,28,14,44.4,44.6,49.08,12.485,4.2625,66,0,0,0,0,0,0,"013949009983688"
2015-07-28 16:01:00,7,28,16,47.7,30.2,45.14,12.485,4.2625,67,0,0,0,0,0,0,"013949009983688"
2015-07-28 18:01:00,7,28,18,44.9,27.8,42.84,12.485,4.2625,68,0,0,0,0,0,0,"013949009983688"
2015-07-28 20:01:00,7,28,20,43.4,28.8,37.83,12.485,4.2625,55,0,0,0,0,0,0,"013949009983688"
2015-07-28 22:01:00,7,28,22,38.8,33.2,31.7,12.4575,4.2625,50,0,0,0,0,0,0,"013949009983688"
2015-07-29 02:01:00,7,29,2,30,46,26.03,12.43,4.2625,38,0,0,0,0,0,0,"013949009983688"
2015-07-29 04:01:00,7,29,4,27.2,47.5,24.2,12.43,4.2625,33,0,0,0,0,0,0,"013949009983688"
2015-07-29 06:01:00,7,29,6,25.3,49.3,23.19,12.4025,4.2625,30,0,0,0,0,0,0,"013949009983688"
2015-07-29 08:01:00,7,29,8,24.2,52,25.32,12.4025,4.2625,54,0,0,0,0,0,0,"013949009983688"
2015-07-29 10:01:00,7,29,10,25.1,55.2,39.95,12.4025,4.2625,75,0,0,0,0,0,0,"013949009983688"
2015-07-29 12:01:00,7,29,12,39.9,41.2,46.08,12.4025,4.2625,69,0,0,0,0,0,0,"013949009983688"
2015-07-29 14:01:00,7,29,14,45.3,35.3,46.13,12.43,4.2625,65,0,0,0,0,0,0,"013949009983688"
2015-07-29 16:02:00,7,29,16,46,31,45.65,12.43,4.2625,91,0,0,0,0,0,0,"013949009983688"
2015-07-29 18:02:00,7,29,18,45.7,27.3,41.21,12.43,4.2625,73,0,0,0,0,0,0,"013949009983688"
2015-07-29 20:02:00,7,29,20,42.1,30.6,35.73,12.4025,4.2625,55,0,0,0,0,0,0,"013949009983688"
2015-07-29 22:02:00,7,29,22,36.2,40.5,26.01,12.375,4.2625,40,0,0.12914426,0,53.584,0,0,"013949009983688"
2015-07-30 02:02:00,7,30,2,25.4,76.19,23.45,12.3475,4.2625,30,0,0.01020203,0,0,0,0,"013949009983688"
2015-07-30 04:02:00,7,30,4,24.3,78.4,22.3,12.3475,4.2625,27,0,0.00690317,0,0,0,0,"013949009983688"
2015-07-30 06:02:00,7,30,6,22.9,87.2,21.91,12.32,4.2625,210,0,0.00959113,0,0,0,0,"013949009983688"
2015-07-30 08:02:00,7,30,8,22.5,87.3,23.22,12.32,4.2625,457,0,0.04679494,0,0,0,0,"013949009983688"
2015-07-30 10:02:00,7,30,10,23.6,78.5,26.04,12.3475,4.2625,459,0,0.06982587,0,0,0,0,"013949009983688"
2015-07-30 14:02:00,7,30,14,29.2,55.7,31.39,12.4025,4.2625,462,0,0.09169609,0,0,0,0,"013949009983688"
2015-07-30 16:02:00,7,30,16,31.8,49.6,31.37,12.4575,4.2625,464,0,0.07617923,0,0,0,0,"013949009983688"
2015-07-30 18:02:00,7,30,18,31.3,51.4,31.65,12.485,4.2625,463,0,0.05290394,0,0,0,0,"013949009983688"
2015-07-30 20:02:00,7,30,20,32,51,28.09,12.4025,4.2625,459,0,0.0067199,0,0,0,0,"013949009983688"
2015-07-30 22:03:00,7,30,22,28.5,60,25.05,12.375,4.2625,30,0,0.02553562,0,0,0,0,"013949009983688"
2015-07-31 02:03:00,7,31,2,22.8,90.3,20.73,12.32,4.2625,25,0,0.04526769,0,0,0,0,"013949009983688"
2015-07-31 04:03:00,7,31,4,21.4,95.2,19.93,12.2925,4.2625,23,0,0.02345856,0,0,0,0,"013949009983688"
2015-07-31 06:03:00,7,31,6,20.8,95.6,20.25,12.2925,4.2625,157,0,0.05039925,0,0,0,0,"013949009983688"
2015-07-31 08:03:00,7,31,8,20.9,89.9,20.81,12.2925,4.2625,456,0,0.11356631,0,0,0,0,"013949009983688"
2015-07-31 10:03:00,7,31,10,21.4,84.2,22.73,12.2925,4.2625,457,0,0.1472269,0,0,0,0,"013949009983688"
2015-07-31 12:03:00,7,31,12,23.4,68,26.47,12.2925,4.2625,457,0,0.17697773,0,0,0,0,"013949009983688"
2015-07-31 14:03:00,7,31,14,26.7,51.4,28.28,12.32,4.2625,458,0,0.21448699,0,0,0,0,"013949009983688"
2015-07-31 16:03:00,7,31,16,28.2,53.1,35.34,12.485,4.2625,464,0,0.19951994,0,0,0,0,"013949009983688"
2015-07-31 18:03:00,7,31,18,35,36,37.6,12.485,4.2625,463,0,0.1924335,0,0,0,0,"013949009983688"
2015-07-31 20:03:00,7,31,20,36.2,31.2,27.34,12.4575,4.2625,462,0,0.17465631,0,0,0,0,"013949009983688"
2015-07-31 22:03:00,7,31,22,29.6,40.3,23.28,12.375,4.2625,31,0,0.05064361,0,0,0,0,"013949009983688"
2015-08-01 02:03:00,8,1,2,22.6,58.1,20.19,12.2925,4.2625,25,0,0.02431382,0,0,0,0,"013949009983688"
2015-08-01 04:03:00,8,1,4,21,70,19.15,12.265,4.2625,23,0,0.01783828,0,0,0,0,"013949009983688"
2015-08-01 06:03:00,8,1,6,19.9,80.69,19.12,12.265,4.2625,102,0,0.03011737,0,0,0,0,"013949009983688"
2015-08-01 08:03:00,8,1,8,19.79,83.4,19.24,12.2375,4.2625,454,0,0.05876858,0,0,0,0,"013949009983688"
2015-08-01 10:04:00,8,1,10,19.9,81.6,23.26,12.2925,4.2625,456,0,0.06579393,0,0,0,0,"013949009983688"
2015-08-01 12:04:00,8,1,12,23.7,58.4,23.47,12.32,4.2625,458,0,0.05027707,0,0,0,0,"013949009983688"
2015-08-01 14:04:00,8,1,14,24.5,53.7,23.12,12.32,4.2625,459,0,0.03390495,0,0,0,0,"013949009983688"
2015-08-01 16:04:00,8,1,16,23.9,56,19.94,12.2925,4.29,457,0,0.10128722,0,0,0,0,"013949009983688"
2015-08-01 18:04:00,8,1,18,20.5,82.4,20.33,12.265,4.2625,456,0,0.06267834,0,0,0,0,"013949009983688"
2015-08-01 20:04:00,8,1,20,20.7,75.8,18.55,12.265,4.29,406,0,0.45970225,0,0,0,0,"013949009983688"
2015-08-01 22:04:00,8,1,22,19.2,95.6,17.62,12.265,4.2625,17,0,0.27349993,0,0,0,0,"013949009983688"
2015-08-02 02:04:00,8,2,2,17.79,99.9,17.24,12.21,4.29,17,0,0.20795036,0,0,0,0,"013949009983688"
2015-08-02 04:04:00,8,2,4,17.9,99.9,17.46,12.21,4.29,17,0,0.23324162,0,0,0,0,"013949009983688"
2015-08-02 06:04:00,8,2,6,18.1,99.9,17.07,12.21,4.2625,183,0,0.28083073,0,0,0,0,"013949009983688"
2015-08-02 08:04:00,8,2,8,17.6,99.9,18.12,12.1825,4.29,453,0,0.20843908,0,0,0,0,"013949009983688"
2015-08-02 10:04:00,8,2,10,18.6,99.9,20.81,12.21,4.29,454,0,0.46043533,0,0,0,0,"013949009983688"
2015-08-02 12:04:00,8,2,12,21.3,94.3,23.46,12.2375,4.29,454,0,0.39146472,0,0,0,0,"013949009983688"
2015-08-02 14:04:00,8,2,14,23.7,74.3,26.4,12.265,4.2625,456,0,0.3866997,0,0,0,0,"013949009983688"
2015-08-02 16:04:00,8,2,16,27,61.4,36.34,12.3475,4.2625,459,0,0.1380634,0,0,0,0,"013949009983688"
2015-08-02 18:04:00,8,2,18,35.9,38.4,38.55,12.4025,4.2625,461,0,0.08412093,0,0,0,0,"013949009983688"
2015-08-02 20:04:00,8,2,20,39.2,32,29.41,12.3475,4.2625,458,0,0.0329886,0,0,0,0,"013949009983688"
2015-08-02 22:04:00,8,2,22,31.2,50.2,24.4,12.2925,4.2625,32,0,0,0,0,0,0,"013949009983688"
2015-08-03 02:04:00,8,3,2,23,84.3,21.22,12.21,4.2625,26,0,0,0,0,0,0,"013949009983688"
2015-08-03 04:05:00,8,3,4,21.7,94.9,20.59,12.21,4.2625,24,0,0.15058685,0,0,0,0,"013949009983688"
2015-08-03 06:05:00,8,3,6,21.1,99.7,18.93,12.1825,4.2625,225,0,0.01331762,0,0,0,0,"013949009983688"
2015-08-03 08:05:00,8,3,8,19.5,99.9,20.48,12.1825,4.2625,451,0,0.14533311,0,0,0,0,"013949009983688"
2015-08-03 10:05:00,8,3,10,21.2,99.9,24.68,12.1825,4.2625,452,0,0.06163981,0,0,0,0,"013949009983688"
2015-08-03 12:05:00,8,3,12,25.2,77.4,27.64,12.155,4.2625,452,0,0.10153158,0,0,0,0,"013949009983688"
2015-08-03 14:05:00,8,3,14,27.9,59.2,29.8,12.21,4.29,453,0,0.13879648,0,0,0,0,"013949009983688"
2015-08-03 16:05:00,8,3,16,30,49.6,39.52,12.2925,4.2625,457,0,0.10831257,0,0,0,0,"013949009983688"
